,vehicle_name,capacity,arrival (planned),arrival (realized)
51,Barge-REP685,177,2021-07-17 13:00:00,2021-07-17 13:00:00
52,Barge-ZQP522,48,2021-07-01 15:00:00,2021-07-01 15:35:00
53,Barge-DNH745,48,2021-07-02 15:00:00,2021-07-02 14:45:00
54,Barge-UTL065,48,2021-07-05 15:00:00,2021-07-05 14:10:00
55,Barge-GXI354,48,2021-07-07 06:55:00,2021-07-07 07:00:00
56,Barge-XBC073,48,2021-07-08 11:00:00,2021-07-08 11:20:00
57,Barge-UIU569,48,2021-07-10 11:00:00,2021-07-10 11:00:00
58,Barge-SYX256,48,2021-07-12 12:30:00,2021-07-12 12:30:00
59,Barge-IJB833,48,2021-07-15 07:00:00,2021-07-15 06:55:00
60,Barge-GQE366,48,2021-07-15 15:00:00,2021-07-15 14:30:00
61,Barge-RFT681,48,2021-07-17 07:10:00,2021-07-17 06:50:00
62,Barge-VQQ987,48,2021-07-19 18:15:00,2021-07-19 18:15:00
63,Barge-WSN715,48,2021-07-20 12:00:00,2021-07-20 12:15:00
64,Barge-AHZ002,48,2021-07-21 15:00:00,2021-07-21 15:00:00
65,Barge-GIN383,48,2021-07-22 11:00:00,2021-07-22 10:20:00
66,Barge-OOT884,48,2021-07-23 07:00:00,2021-07-23 07:30:00
67,Barge-ZQF953,48,2021-07-23 15:00:00,2021-07-23 14:40:00
68,Barge-POQ390,48,2021-07-24 08:00:00,2021-07-24 07:25:00
69,Barge-LMS464,48,2021-07-25 12:00:00,2021-07-25 12:25:00
70,Barge-JOM557,48,2021-07-26 13:00:00,2021-07-26 14:00:00
71,Barge-TFZ418,48,2021-07-27 10:00:00,2021-07-27 10:10:00
72,Barge-KRV166,48,2021-07-28 11:00:00,2021-07-28 10:00:00
73,Barge-RII476,48,2021-07-29 10:55:00,2021-07-29 10:35:00
74,Barge-OTM454,48,2021-07-30 16:00:00,2021-07-30 16:55:00
75,Barge-YPF196,48,2021-07-31 15:00:00,2021-07-31 15:15:00
76,Barge-WAP943,130,2021-07-02 16:30:00,2021-07-02 17:50:00
77,Barge-VQT484,130,2021-07-07 13:45:00,2021-07-07 13:20:00
78,Barge-WSU586,130,2021-07-16 10:55:00,2021-07-16 11:10:00
79,Barge-UNS046,105,2021-07-02 12:00:00,2021-07-02 11:00:00
80,Barge-TXR893,105,2021-07-13 20:55:00,2021-07-13 19:55:00
